analysis_group,model,forget_set,method,beta,gamma,alpha,extraction_strength,extraction_strength_retain,model_utility,extraction_strength_norm,extraction_strength_retain_norm,model_utility_norm,folder
phi-1_5_forget05,phi-1_5,forget05,NPO,0.05,0.5,,0.05559111426064014,0.08427694359014644,0.28315010207961333,0.028806783140214117,0.0,0.0,tofu_phi-1_5_forget05_NPO_beta0.05_gamma0.5_epoch5
phi-1_5_forget05,phi-1_5,forget05,NPO,0.2,0.2,,0.09668978923012755,0.35984075028136714,0.3931184056264204,0.26659098999756065,0.4965594328793864,0.8465597203978575,tofu_phi-1_5_forget05_NPO_beta0.2_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,NPO,0.05,0.2,,0.06144571146382481,0.13119084217782662,0.35226882475572846,0.06267966963745658,0.08453773068595694,0.5320908357747235,tofu_phi-1_5_forget05_NPO_beta0.05_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,NPO,0.05,0.4,,0.05818962993909801,0.09167242064299326,0.3013558029618893,0.04384099020570264,0.01332647394927692,0.14015141228387223,tofu_phi-1_5_forget05_NPO_beta0.05_gamma0.4_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.0,0.2,,0.13590607213635658,0.5383160413359437,0.39603496519662135,0.49348425927385936,0.8181676671869852,0.8690120250587371,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.25,0.2,,0.14291029673311303,0.5441712503182218,0.3990194410224668,0.534008533879475,0.8287186146664131,0.891987163704815,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.0,0.15,,0.17087940460825202,0.548522381265219,0.4009622101587131,0.6958291311988546,0.8365592492597866,0.9069430195626642,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.15_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.0,0.175,,0.1530011103054809,0.541082625851406,0.4004193825261168,0.5923908565123149,0.8231529867560032,0.9027642153613306,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.175_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.5,0.2,,0.14547791161507284,0.5492239180165348,0.39901998792130056,0.5488639585050915,0.8378234018187174,0.8919913738500012,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.2_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.5,0.175,,0.16152814751945377,0.5451191740108692,0.40007945418880464,0.6417256533706797,0.8304267506400221,0.9001473736996074,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.175_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.5,0.125,,0.19733352344396202,0.5559129042727305,0.4010500138271026,0.8488844710639332,0.8498767961370663,0.9076189511408038,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.125_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.0,0.1,,0.2203305008511377,0.5587705124016069,0.4038731381797599,0.9819378611535502,0.8550261380949397,0.9293519713434542,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.1_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.25,0.1,,0.22216286967880478,0.5549695962917093,0.406063351271071,0.9925393797835406,0.8481769775661486,0.9462127041399992,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.1_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.0,0.125,,0.18460758011900327,0.5460582177091836,0.4019544887748827,0.7752561036704965,0.8321188850748119,0.9145817943802077,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.125_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.5,0.1,,0.22345236492913906,0.5611178400775815,0.40474508384321656,1.0,0.8592559667998032,0.9360643971357081,tofu_phi-1_5_forget05_SimNPO_beta2.5_gamma0.1_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.25,0.15,,0.17303185539409188,0.5573961211628778,0.4007901292076624,0.7082825449230292,0.8525495177352042,0.9056183032843479,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.15_epoch5
phi-1_5_forget05,phi-1_5,forget05,SimNPO,2.25,0.125,,0.19219523755434686,0.5476275598827341,0.4017617931753899,0.8191559400157783,0.8349468023874986,0.9130983820916923,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.125_epoch5
phi-1_5_forget05,phi-1_5,forget05,TVC,0.8,,0.8,0.08717233417042287,0.6392232167750419,0.413050333447963,0.21152594217418205,1.0,1.0,model_a0.8_b0.8
phi-1_5_forget05,phi-1_5,forget05,TVC,0.8,,1.2,0.057737048896980066,0.4989791671755168,0.36840906493856906,0.041222496441157115,0.7472835545058271,0.6563418860832697,model_a1.2_b0.8
phi-1_5_forget05,phi-1_5,forget05,TVC,1.0,,1.2,0.05711115513359962,0.47377055176962984,0.3957218259614037,0.03760126893898407,0.7018582284445994,0.8666014116832328,model_a1.2_b1.0
phi-1_5_forget05,phi-1_5,forget05,TVC,0.8,,1.0,0.06780339854792632,0.5837900916584439,0.4080193685264741,0.0994632784000903,0.9001108255066542,0.9612705468766801,model_a1.0_b0.8
phi-1_5_forget05,phi-1_5,forget05,TVC,1.0,,1.0,0.0638153324723915,0.4995003328832327,0.4032689299688475,0.07638956302192361,0.7482226827294024,0.9247006462107138,model_a1.0_b1.0
phi-1_5_forget05,phi-1_5,forget05,TVC,1.2,,1.2,0.05061214348355048,0.41630086814664524,0.3846805264799338,0.0,0.5982992239068088,0.7816031067136225,model_a1.2_b1.2
phi-1_5_forget10,phi-1_5,forget10,NPO,0.15,0.3,,0.08941513118911751,0.27605474891890047,0.3912209595475231,0.32374755682982226,0.2575685148781916,0.7546849793950765,tofu_phi-1_5_forget10_NPO_beta0.15_gamma0.3_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.2,0.2,,0.09927024257416077,0.4194132229527962,0.38961524822204563,0.3994700589015933,0.4468370596980006,0.739606343528784,tofu_phi-1_5_forget10_NPO_beta0.2_gamma0.2_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.15,0.2,,0.08519268360245476,0.3410689413230498,0.3869134707888219,0.29130405785382246,0.34340328447861995,0.714234959855425,tofu_phi-1_5_forget10_NPO_beta0.15_gamma0.2_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.1,0.2,,0.07088636112818915,0.2753067635803365,0.3903941608915951,0.1813803349377017,0.25658098974212545,0.7469208217475174,tofu_phi-1_5_forget10_NPO_beta0.1_gamma0.2_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.05,0.3,,0.04764702575115457,0.10381061251787099,0.3515550264241329,0.0028191241628770943,0.03016377114006082,0.38219700327243633,tofu_phi-1_5_forget10_NPO_beta0.05_gamma0.3_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.05,0.5,,0.047280123154525004,0.0809635398261904,0.3108551871177141,0.0,0.0,0.0,tofu_phi-1_5_forget10_NPO_beta0.05_gamma0.5_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.1,0.3,,0.06939781858620085,0.1925984669124969,0.3859458240953623,0.16994300446869315,0.14738563829644952,0.705148150846614,tofu_phi-1_5_forget10_NPO_beta0.1_gamma0.3_epoch5
phi-1_5_forget10,phi-1_5,forget10,NPO,0.05,0.2,,0.04772967027019007,0.14055931195528704,0.3726965411880156,0.0034541296457561007,0.07868111839429942,0.5807290791993701,tofu_phi-1_5_forget10_NPO_beta0.05_gamma0.2_epoch5
