model,forget_set,method,beta,gamma,epoch,dir_name,exact_memorization,extraction_strength,extraction_strength_retain,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,alpha,lr,composite_score
Llama-2-7B,forget10,NPO,0.05,0.3,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.3_epoch5,0.5050624118139967,0.051766189565829415,0.17410768739089824,0.03208990128281755,0.29024359643042763,0.415788823500893,0.6787006948988775,0.548656378237542,61.68465245139806,0.4636691683670506,0.5055651280100419,,,0.6160293898697401
Llama-2-7B,forget10,NPO,0.05,0.5,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.5_epoch5,0.49771234510466456,0.050184967276117626,0.15201589621774608,0.03171186131278318,0.20552049445867887,0.7582774273046589,0.6903012021967823,0.5275830465569123,61.74987006421898,0.40508006010903047,0.4147563172232334,,,0.5
Llama-2-7B,forget10,SimNPO,2.0,0.1,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.0_gamma0.1_epoch5,0.8435686162114143,0.16038144769221319,0.5607278148046202,0.41681263657286766,0.4344342480587132,5.418551024174982e-13,0.5901409806935589,0.5807337040121031,-77.41330641844625,0.8352030411921442,0.6174257300319749,,,0.37140352795747356
Llama-2-7B,forget10,SimNPO,2.25,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.25_gamma0.2_epoch5,0.7524694998189807,0.10103918689685365,0.5362718728722685,0.16748001595547976,0.3633479583459025,6.392505006995772e-06,0.6070041355223582,0.5993355871105956,-8.190924560228915,0.8383900183998049,0.6009825658805046,,,0.7147240667837441
Llama-2-7B,forget05,NPO,0.2,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.2_gamma0.2_epoch5,0.7589661249518395,0.1049800211344662,0.5103548737099941,0.3090434292703867,0.32978359925459627,0.0009668691315127085,0.6525872912640044,0.5819738215279525,-54.87898873826439,0.8220502240955829,0.609445707640172,,,0.7234408685536995
Llama-2-7B,forget05,NPO,0.2,0.4,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.2_gamma0.4_epoch5,0.7641941221058368,0.11229529200413056,0.36354895832776607,0.34497381342574956,0.37581254159866134,0.00018395764501293307,0.6574663835562679,0.5616468902612282,-61.823647285058804,0.714529380351305,0.5389636655069403,,,0.6027141218075138
Llama-2-7B,forget05,NPO,0.05,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.05_gamma0.2_epoch5,0.6064505918323994,0.05120232730511189,0.2872537113352484,0.055241736773095906,0.2666122225621538,0.6284308022715471,0.6798550962478985,0.570380703798709,41.51765067958721,0.5331421559862792,0.5230174066900514,,,0.7969224630211964
Llama-2-7B,forget05,NPO,0.05,0.4,5,tofu_Llama-2-7b-chat-hf_forget05_NPO_beta0.05_gamma0.4_epoch5,0.600340556949377,0.06517587899851957,0.2229518467272592,0.05527880317378731,0.2758261793592716,0.9646522162314058,0.6793806663059507,0.531896218578812,33.32434098453455,0.39991393689066174,0.48620964178718923,,,0.5680495482743546
Llama-2-7B,forget05,SimNPO,2.25,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.25_gamma0.2_epoch5,0.8037803730368615,0.1509939339833265,0.6792978657147992,0.21044112696312367,0.37238788354910696,1.1150402145378719e-05,0.5852088573737485,0.6069775826538686,-23.215662089838816,0.8792566934227943,0.6637630219217496,,,0.7368236409113003
Llama-2-7B,forget10,NPO,0.1,0.3,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.1_gamma0.3_epoch5,0.6538377644866705,0.07089331832464076,0.29677928722739105,0.14079503301822116,0.3322033637363807,0.32218506015364723,0.693975304193699,0.5536677850809668,13.357382325887118,0.5957854197360575,0.5632361839792197,,,0.5692515847303926
Llama-2-7B,forget10,NPO,0.1,0.5,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.1_gamma0.5_epoch5,0.6518755985051393,0.06832603680348016,0.20989364298309846,0.16043569849542108,0.3552743234569558,0.04457247091405896,0.6969526393946396,0.5392215090295533,9.658320848699887,0.5112263084482401,0.530965973696597,,,0.49559376407732114
Llama-2-7B,forget10,SimNPO,2.25,0.15,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.25_gamma0.15_epoch5,0.8152857825160027,0.12724874038379327,0.5314530871734862,0.3109837542672176,0.3985542651663129,3.913229651378406e-08,0.6092961470176971,0.6044619459518016,-58.50733187677828,0.832276274682954,0.6051181478577312,,,0.6405231185290595
Llama-2-7B,forget05,SimNPO,2.0,0.15,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.0_gamma0.15_epoch5,0.8231605863571168,0.16623332109589734,0.7041181055478384,0.2696023824810982,0.39393819179389766,2.6127403909667314e-07,0.5814468998054617,0.6083042265411164,-42.739324796864615,0.8842262253165245,0.675741863634434,,,0.7060993520577434
Llama-2-7B,forget05,SimNPO,2.5,0.2,5,tofu_Llama-2-7b-chat-hf_forget05_SimNPO_beta2.5_gamma0.2_epoch5,0.8140392634272575,0.15163037129754334,0.6851949244892245,0.24996465884149074,0.39369617073933083,8.056669472003223e-07,0.5858317697703913,0.609919677570497,-40.83166332035893,0.8825318744778633,0.6916962568649271,,,0.7501336414109673
Llama-2-7B,forget10,NPO,0.05,0.2,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.2_epoch5,0.5282708324305713,0.0517798642330396,0.2538404885430578,0.026752039372344924,0.2595905606452293,0.13142600454226117,0.650308582345046,0.5734550559780635,61.45944788212577,0.5371267723990605,0.5284853764914128,,,0.7598963334345077
Llama-2-7B,forget10,NPO,0.05,0.4,5,tofu_Llama-2-7b-chat-hf_forget10_NPO_beta0.05_gamma0.4_epoch5,0.5111709819268435,0.05122288662360397,0.1596244254624427,0.031162458715475908,0.30225869292509894,0.5234101030810641,0.6983689264990247,0.533106218161891,62.088186430727575,0.42064783300738784,0.5312664956019258,,,0.5279375934274535
Llama-2-7B,forget10,SimNPO,2.5,0.1,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.5_gamma0.1_epoch5,0.8555359847843647,0.17483985672026467,0.5552474972018476,0.4646648291032761,0.44342656496763216,5.805666105234786e-14,0.5859142684346667,0.5897256176643083,-85.37698835900223,0.8365275193471462,0.6386807420861793,,,0.36624397592660385
Llama-2-7B,forget10,SimNPO,2.5,0.15,5,tofu_Llama-2-7b-chat-hf_forget10_SimNPO_beta2.5_gamma0.15_epoch5,0.821020110398531,0.13793694583982025,0.5388800458087877,0.32394627265864984,0.4121255143850662,4.360395687512671e-09,0.6023990722921482,0.5973540547820486,-64.44213464348309,0.8362422697525471,0.6112453600779608,,,0.5568803779442546
