forget_split,method,beta,gamma,epoch,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,forget_quality,forget_truth_ratio,model_utility,privleak,retain_Q_A_Prob,retain_Q_A_ROUGE,exp_name,es_norm,fq_norm,rouge_norm,composite_score
forget05,SimNPO,2.25,0.1,5,0.8579581665992737,0.22216286967880478,0.5780345546826721,0.4877880033030618,5.951062636424447e-11,0.48626325296716855,0.406063351271071,-97.22647868568396,0.8023129854351282,0.5655655460215638,tofu_phi-1_5_forget05_SimNPO_beta2.25_gamma0.1_epoch5,0.12654159000330267,0.9999999998488232,0.9929461288098445,0.6921733950911974
forget05,SimNPO,2.75,0.15,5,0.8344199046492576,0.18535332502739593,0.505275355540216,0.4641566274583137,4.869254633582969e-10,0.4917731785993731,0.3995628549851976,-95.28807844080785,0.8015620696544647,0.5593099722131821,tofu_phi-1_5_forget05_SimNPO_beta2.75_gamma0.15_epoch5,0.3103882357297766,0.9999999987627113,0.9575469341364221,0.7458999623132974
forget05,SimNPO,3.0,0.2,5,0.8129195871949196,0.15515116934176537,0.4456452191993594,0.4612399862317028,3.602472544567432e-09,0.4983329878708143,0.40224232994974657,-93.04704258457754,0.8013050298392773,0.5621409727399077,tofu_phi-1_5_forget05_SimNPO_beta3.0_gamma0.2_epoch5,0.46123403045762346,0.9999999908457357,0.9735670694326988,0.8035020282859853
forget10,SimNPO,2.0,0.2,5,0.768357278779149,0.11383145547837176,0.3268289833515883,0.4263306738716341,7.832452544383501e-12,0.5324121360377919,0.39476099651150615,-81.24911426966307,0.7713643243536353,0.5461578289060731,tofu_phi-1_5_forget10_SimNPO_beta2.0_gamma0.2_epoch5,0.6676068847839225,0.9999999999801436,0.8831212626373046,0.8485987884586144
forget10,SimNPO,2.0,0.125,5,0.8152363841235638,0.14407658121315478,0.4776090063713491,0.4490112480803337,3.1252666340221845e-13,0.5185273196549475,0.3943700610777539,-93.71292639437792,0.7783478865772486,0.5442678840270679,tofu_phi-1_5_forget10_SimNPO_beta2.0_gamma0.125_epoch5,0.5165464745405024,0.9999999999992526,0.8724263961481106,0.7925191849333474
forget10,SimNPO,2.75,0.1,5,0.8503234857320785,0.18505365330574533,0.5922874977439642,0.46854819538207176,1.8397341057158477e-14,0.5103242959794434,0.39974729282310917,-97.54833483590673,0.7842650281637907,0.5571582253231334,tofu_phi-1_5_forget10_SimNPO_beta2.75_gamma0.1_epoch5,0.31188495733734567,1.0,0.9453705759985472,0.7427709078676351
forget10,SimNPO,3.0,0.1,5,0.8579317797720433,0.19385664178438816,0.6067364317923785,0.4741132555346686,3.277026375806354e-14,0.5083725945671278,0.3999203860708647,-97.83986231839825,0.7855440733954311,0.5609123759697272,tofu_phi-1_5_forget10_SimNPO_beta3.0_gamma0.1_epoch5,0.26791810255840887,0.9999999999999635,0.9666146558612236,0.7337557326537973
forget05,NPO,0.2,0.2,5,0.711809538602829,0.09668978923012755,0.2759721226245165,0.4084335503290318,0.0030098470801667434,0.5820693879684905,0.3931184056264204,-51.01517008105806,0.6760859939455987,0.49857162683471024,tofu_phi-1_5_forget05_NPO_beta0.2_gamma0.2_epoch5,0.7532215771618623,0.9923516206918825,0.6138392938695564,0.7951024074096775
forget05,NPO,0.2,0.4,5,0.6886262264847756,0.09079130193325176,0.2715354508301243,0.4139890750688334,0.016258459276759563,0.6127629015568936,0.37120238892959057,-53.04934108902094,0.5122267520055175,0.46706890801931417,tofu_phi-1_5_forget05_NPO_beta0.2_gamma0.4_epoch5,0.7826817922952035,0.9586853218111107,0.43557093508301375,0.740149770462114
forget05,SimNPO,2.0,0.125,5,0.8341281056404114,0.18460758011900327,0.5057774045690894,0.46677191841830706,1.2127544312107394e-10,0.49046996632582746,0.4019544887748827,-94.13116762271972,0.7993701078742742,0.5596193008454488,tofu_phi-1_5_forget05_SimNPO_beta2.0_gamma0.125_epoch5,0.31411288653091984,0.9999999996918715,0.9592973705963034,0.747728721356868
forget05,SimNPO,2.75,0.1,5,0.8656772968173027,0.23093134569865092,0.6033761528506875,0.490886412619425,2.8873674273022313e-11,0.4829278482099773,0.4032571971008797,-97.95433648514336,0.8049258238077164,0.564525433598814,tofu_phi-1_5_forget05_SimNPO_beta2.75_gamma0.1_epoch5,0.08274710898898674,0.9999999999266753,0.9870603150918714,0.6750795826480431
forget10,NPO,0.1,0.3,5,0.636898420676589,0.06939781858620085,0.18281388911709656,0.38987924049814965,0.0007748993373290397,0.5995983125339523,0.3859458240953623,-33.10861422684747,0.4995697078667581,0.4600320663214393,tofu_phi-1_5_forget10_NPO_beta0.1_gamma0.3_epoch5,0.8895323439933471,0.9980308886466522,0.3957506824923774,0.7793723361717129
